"Frequency (Hz)","Absolute Amplitude (a.u.)"
1.286718750E4,2.331859796E-2
1.289062500E4,2.690716812E-2
1.291406250E4,1.513191660E-2
1.293750000E4,2.104713007E-2
1.296093750E4,2.989979153E-2
1.298437500E4,2.381699423E-2
1.300781250E4,2.440415753E-2
1.303125000E4,2.858156745E-2
1.305468750E4,3.226645807E-2
1.307812500E4,2.308493142E-2
1.310156250E4,3.207354910E-2
1.312500000E4,3.148200494E-2
1.314843750E4,2.791165984E-2
1.317187500E4,2.644619828E-2
1.319531250E4,3.251571251E-2
1.321875000E4,2.827773267E-2
1.324218750E4,3.040866416E-2
1.326562500E4,2.962263361E-2
1.328906250E4,2.140352794E-2
1.331250000E4,3.559121308E-2
1.333593750E4,3.221996940E-2
1.335937500E4,2.718163440E-2
1.338281250E4,1.732472574E-2
1.340625000E4,3.379969506E-2
1.342968750E4,2.827585109E-2
1.345312500E4,3.163183827E-2
1.347656250E4,1.884964864E-2
1.350000000E4,2.841290635E-2
1.352343750E4,2.704721952E-2
1.354687500E4,3.370979659E-2
1.357031250E4,2.512820845E-2
1.359375000E4,2.094984031E-2
1.361718750E4,2.601278301E-2
1.364062500E4,3.073267184E-2
1.366406250E4,2.339886395E-2
1.368750000E4,2.717614148E-2
1.371093750E4,2.303177687E-2
1.373437500E4,3.008577412E-2
1.375781250E4,3.096581139E-2
1.378125000E4,2.756686678E-2
1.380468750E4,2.425060936E-2
1.382812500E4,2.122607010E-2
1.385156250E4,3.015093307E-2
1.387500000E4,2.195063167E-2
1.389843750E4,2.724677668E-2
1.392187500E4,1.847916873E-2
1.394531250E4,2.077701003E-2
1.396875000E4,3.578333023E-2
1.399218750E4,2.388543964E-2
1.401562500E4,2.388853659E-2
1.403906250E4,2.293590318E-2
1.406250000E4,2.883101670E-2
1.408593750E4,2.505663230E-2
1.410937500E4,2.271336671E-2
1.413281250E4,2.303230278E-2
1.415625000E4,3.012027516E-2
1.417968750E4,3.229997767E-2
1.420312500E4,2.408117794E-2
1.422656250E4,1.935887507E-2
1.425000000E4,3.147913207E-2
1.427343750E4,3.088874823E-2
1.429687500E4,2.979338603E-2
1.432031250E4,1.590889940E-2
1.434375000E4,2.251873801E-2
1.436718750E4,2.439366942E-2
1.439062500E4,2.950967780E-2
1.441406250E4,2.830337685E-2
1.443750000E4,2.059580322E-2
1.446093750E4,2.653269606E-2
1.448437500E4,2.860109255E-2
1.450781250E4,2.986598781E-2
1.453125000E4,2.234798433E-2
1.455468750E4,3.042114484E-2
1.457812500E4,2.378272667E-2
1.460156250E4,2.205051867E-2
1.462500000E4,2.029953126E-2
1.464843750E4,1.450507331E-2
1.467187500E4,3.229496550E-2
1.469531250E4,2.471121969E-2
1.471875000E4,2.105646517E-2
1.474218750E4,2.162029651E-2
1.476562500E4,2.448828895E-2
1.478906250E4,2.568354862E-2
1.481250000E4,2.380969310E-2
1.483593750E4,2.912873970E-2
1.485937500E4,2.731412696E-2
1.488281250E4,2.755926961E-2
1.490625000E4,2.212184368E-2
1.492968750E4,1.916145738E-2
1.495312500E4,1.469724706E-2
1.497656250E4,2.716476535E-2
1.500000000E4,3.323754305E-2
1.502343750E4,2.800720503E-2
1.504687500E4,2.281529980E-2
